Model name: 1605995180.9348865reward-med-game-score-10k
Extra information: reward = reward*game_score
Timestamp: 2020-11-21 22:46:23.049156
Game Rounds Score Epsilon ClearedLines
0 23 12 1 0
1 12 1 0.9999 0
2 19 8 0.9998 0
3 17 6 0.9997 0
4 18 7 0.9996 0
5 17 6 0.9995 0
6 17 6 0.9994000000000001 0
7 17 6 0.9993000000000001 0
8 18 7 0.9992000000000001 0
9 13 2 0.9991000000000001 0
10 20 9 0.9990000000000001 0
11 15 4 0.9989000000000001 0
12 17 6 0.9988000000000001 0
13 18 7 0.9987000000000001 0
14 17 6 0.9986000000000002 0
15 19 8 0.9985000000000002 0
16 16 5 0.9984000000000002 0
17 21 10 0.9983000000000002 0
18 17 6 0.9982000000000002 0
19 15 4 0.9981000000000002 0
20 20 9 0.9980000000000002 0
21 20 9 0.9979000000000002 0
22 19 8 0.9978000000000002 0
23 17 6 0.9977000000000003 0
24 21 10 0.9976000000000003 0
25 25 14 0.9975000000000003 0
26 22 11 0.9974000000000003 0
27 19 8 0.9973000000000003 0
28 20 9 0.9972000000000003 0
29 13 2 0.9971000000000003 0
30 20 9 0.9970000000000003 0
31 10 -1 0.9969000000000003 0
32 23 13 0.9968000000000004 1
33 18 7 0.9967000000000004 0
34 17 6 0.9966000000000004 0
35 20 9 0.9965000000000004 0
36 24 13 0.9964000000000004 0
37 20 9 0.9963000000000004 0
38 16 5 0.9962000000000004 0
39 19 8 0.9961000000000004 0
40 20 9 0.9960000000000004 0
41 23 12 0.9959000000000005 0
42 16 5 0.9958000000000005 0
43 24 13 0.9957000000000005 0
44 22 11 0.9956000000000005 0
45 12 1 0.9955000000000005 0
46 18 7 0.9954000000000005 0
47 19 8 0.9953000000000005 0
48 20 9 0.9952000000000005 0
49 16 5 0.9951000000000005 0
50 24 13 0.9950000000000006 0
51 21 10 0.9949000000000006 0
52 22 11 0.9948000000000006 0
53 18 7 0.9947000000000006 0
54 18 7 0.9946000000000006 0
55 19 8 0.9945000000000006 0
56 23 12 0.9944000000000006 0
57 13 2 0.9943000000000006 0
58 20 9 0.9942000000000006 0
59 20 9 0.9941000000000006 0
60 15 4 0.9940000000000007 0
61 15 4 0.9939000000000007 0
62 17 6 0.9938000000000007 0
63 16 5 0.9937000000000007 0
64 20 9 0.9936000000000007 0
65 22 11 0.9935000000000007 0
66 22 11 0.9934000000000007 0
67 15 4 0.9933000000000007 0
