Model name: 1605965316.591669test-etter-halvferdig-runde4
Extra information: 
Timestamp: 2020-11-21 14:28:47.233455
Game Rounds Score Epsilon ClearedLines
0 73 78 0 14
1 55 53 0 7
2 60 58 0 9
3 67 68 0 12
4 36 25 0 0
5 42 33 0 2
6 52 45 0 4
7 41 34 0 2
8 46 42 0 5
9 38 28 0 1
10 45 38 0 4
11 57 54 0 8
12 51 46 0 6
13 52 47 0 6
14 57 54 0 8
15 44 36 0 3
16 43 35 0 3
17 42 34 0 3
18 45 37 0 3
19 49 45 0 5
20 38 29 0 2
21 47 40 0 4
22 49 42 0 4
23 42 33 0 2
24 58 56 0 9
25 57 54 0 8
26 38 28 0 1
27 36 26 0 1
28 42 33 0 2
29 54 49 0 6
30 41 32 0 2
31 46 39 0 4
32 39 29 0 1
33 52 47 0 6
34 55 51 0 7
35 39 29 0 1
36 47 40 0 4
37 46 39 0 4
38 52 49 0 6
39 37 27 0 1
40 40 31 0 2
41 41 32 0 2
42 69 70 0 12
43 51 46 0 6
44 55 51 0 7
45 55 54 0 8
46 43 35 0 3
47 42 34 0 3
48 56 55 0 8
49 47 39 0 3
50 42 34 0 3
51 36 25 0 0
52 38 27 0 0
53 41 32 0 2
54 39 30 0 2
55 44 38 0 3
56 38 28 0 1
57 48 41 0 4
58 52 48 0 7
59 45 38 0 4
60 62 60 0 9
